diameter,closeness,clustering,betweenness,edit count,editor count,article size
25,0.15875898708134079,0.061635971291869006,0.0058138604642828185,2865,992,112082
49,0.11887973826677799,0.048385272142645284,0.0021790083829128053,9641,3772,214989
53,0.08054017661308942,0.03980225941233386,0.026788524563549507,1934,491,66302
29,0.1622391004799675,0.10778756602492236,0.0024659802840317118,6492,2247,172847
33,0.13597195736996814,0.042273891249717664,0.0026033181696854023,6910,2641,112738
33,0.1401338311673215,0.06053118871211618,0.0023500322950833316,6910,2809,68313
37,0.09822947346076664,0.024605146674195083,0.016858718106678085,1330,590,86580
43,0.13031872452153603,0.046028935125718984,0.002977134174630801,5922,2410,103728
43,0.10853626812835418,0.09478082397617682,0.07564048140369692,693,140,46604
26,0.16559471763221686,0.07336710473721562,0.0024394373494355244,6557,2200,226169
59,0.1462722173196236,0.18046422302657636,0.01714768604575168,2156,430,131102
30,0.12701420595341512,0.041376059847472293,0.006397003058341863,2799,1158,85280
36,0.13404228895268966,0.05289483287986974,0.004118127466027206,3819,1693,218753
20,0.2035116638300297,0.1572621593676285,0.010033087909625715,1185,426,47945
23,0.17950150869647427,0.12708306361805244,0.006146879830648175,3926,792,223473
29,0.1724705563352189,0.13524775924054064,0.0032369102651587816,5263,1634,87490
29,0.15451570980264212,0.061825198179641924,0.006874527822152602,1920,866,74386
43,0.13718576138334498,0.037748413909450565,0.0024093564645096383,5780,2810,78752
33,0.12803532418247318,0.06305245424050422,0.005700849513265856,2854,1292,140088
34,0.14748781357512447,0.06583622637251955,0.00837143072451453,1685,746,92651
31,0.1510449604995591,0.04620789434966338,0.002732651327473302,4965,2204,96155
43,0.08796488428357237,0.07406425108484271,0.054603307320698624,532,209,51919
66,0.06807552221155849,0.024272979624558877,0.014558567579810696,2169,1025,79341
27,0.13557459456846002,0.06594317614848294,0.009282286946510166,1992,755,59306
32,0.14384364645447287,0.04043661291048314,0.0023067369292886024,6600,2723,129036
31,0.13903384194886978,0.08029520656982005,0.01973987352911142,1406,347,77354
51,0.09711976390342755,0.08548920806168653,0.020613007942911193,1464,503,33757
42,0.10612070030046947,0.03254775585629077,0.00986179427723201,1890,932,151187
37,0.1271762819105105,0.03256908924231883,0.0025573719734621526,6826,2860,140156
36,0.15105766113918404,0.0665568179335324,0.002144878374849282,7799,2787,140870
37,0.14243129586555192,0.05180485550171375,0.00264967738154606,5606,2484,64035
38,0.1365497038460795,0.08063378048276748,0.006535720640022147,2511,1058,114485
43,0.1374556586635378,0.05135230269462456,0.003291011469761979,5714,2088,142495
40,0.1363223460192418,0.05919305108511832,0.00198720384067981,7551,3427,117995
73,0.06734693674774321,0.027306602925797972,0.0490012468128037,561,323,51596
31,0.12954628507806953,0.03414801601325706,0.006749450589344044,2082,1062,31522
31,0.11462830838975101,0.0240692151543848,0.00601192627613352,2883,1367,86173
29,0.11464103629350227,0.0288049542684337,0.02508902372144661,637,329,42045
39,0.13311561101381014,0.03821491037462293,0.0036005628386705174,4440,1950,92580
45,0.11373354721003398,0.03297142878009437,0.002507676613780173,7701,3330,156645
40,0.1293969508547204,0.0886941626982796,0.018185024898056686,1066,419,56120
34,0.1273483554215971,0.06760529592868436,0.006825664475447489,2492,1091,59699
39,0.17472859365765098,0.098053783249962,0.0026561247227166983,5516,1912,131288
26,0.1916237338375337,0.1328471417586134,0.029948256630927563,803,163,53285
46,0.13794742355337403,0.07371438489354688,0.0014231591041792618,12111,4708,151222
50,0.09530979283635771,0.05597686276871999,0.02474280725023911,1036,446,62977
45,0.09555951729808547,0.0416848202967777,0.02123012594957166,1229,497,35139
35,0.1447517112210492,0.06889731521272341,0.0042511190318628034,3615,1524,63097
54,0.07321184345520418,0.03017237582643137,0.008734437139422018,3528,1542,116962
43,0.14703124144695057,0.0546309594620769,0.002647677660642664,5445,2397,149468
28,0.15979209171008274,0.08817842461953641,0.006978891997162405,3214,821,140402
38,0.1258972471495542,0.07786430082229347,0.005462935085667952,3318,1419,85306
30,0.20455135051524767,0.1595106249013155,0.0015132107991022003,8036,2811,152653
62,0.09486539631738049,0.047950335129225134,0.005363688516437473,6093,1977,242229
30,0.129095108099521,0.04389260084851158,0.008098709583829163,2128,900,92890
41,0.12350830177442292,0.0568929494264772,0.003702524810466098,5048,2066,116762
37,0.13424072367507453,0.04714276953184866,0.003755788825716397,3818,1853,79086
36,0.17041646547654682,0.09564767151169783,0.0012716344740877066,12634,4103,191492
39,0.12893635842804105,0.0628291989326379,0.003971015238664595,4636,1831,128391
37,0.13667694699527458,0.03181907208054244,0.0026579008312854232,5530,2535,92537
25,0.1574495915238727,0.08819707831919478,0.006970854056679801,3215,828,168859
36,0.11689601039608324,0.062345345819084456,0.008659960816895382,2383,942,92237
27,0.1485338871893919,0.05439041870848417,0.0026328684925105944,4846,2351,70389
26,0.14904260663733224,0.04529087257696584,0.0018297953527588338,7551,3289,125962
34,0.0928693477249404,0.03691401738756145,0.05091550525244525,508,212,34119
31,0.1522528641751693,0.06604501977539078,0.002348511323608014,6727,2574,159253
56,0.12316305849164953,0.0322882244555741,0.0022544661594096752,7805,3390,153982
26,0.1438140017243719,0.06300704181389272,0.004425975301599021,3383,1436,111741
44,0.11913292380299471,0.054386474399453336,0.0032091931854583665,5907,2514,185771
38,0.10274451483221508,0.04060867481018351,0.008541403753226241,2418,1101,79031
27,0.14870966730188404,0.07206889183527512,0.015123476348444336,1230,414,77572
33,0.16903981499446621,0.0690315095705709,0.0021215083311146707,6899,2500,142378
32,0.12401615933387836,0.07838046293102187,0.025840159172766355,899,304,56583
40,0.125085446026183,0.033968204487864875,0.0021078362956881732,8411,3559,170665
48,0.126468806880796,0.053703963527735654,0.007613509899605554,2599,1017,91461
34,0.10590980858703151,0.06498120595299957,0.012755158443829934,1675,710,108740
19,0.2474502630420727,0.17534617838449876,0.016140412309723334,1408,216,59936
34,0.15096512045927749,0.05061833738931921,0.0013168564251824187,10132,4510,88917
51,0.13574456033839555,0.088122598611536,0.0022112073692585285,6986,3201,131091
51,0.11003830865859493,0.05326195008912744,0.009546398502761603,2295,927,79303
65,0.09421821958947746,0.06846452178205184,0.032371129757629784,934,368,69547
41,0.13122777144415212,0.04958837963100792,0.003613302239137652,6482,1956,153432
26,0.14349673340407595,0.040375850792618594,0.002037736537105295,7021,3095,124903
39,0.11776198575516679,0.05199438930588335,0.009189409773404364,2440,900,98175
23,0.16368048992998205,0.09696402375240143,0.004181204844113864,3659,1308,90599
30,0.11178911882078187,0.031777866210317314,0.015636533342600956,1227,548,59893
35,0.10469718331695914,0.0348780854421016,0.009415981554732214,2118,971,66281
41,0.14645122763836904,0.07024718970667058,0.001115523566659727,13662,5643,196336
37,0.1325923282885583,0.03609783806225202,0.002024416615513525,7595,3425,190992
46,0.11479596956428068,0.058050211292958356,0.003544951280337939,6313,2381,183974
46,0.08926694544242268,0.04717045460551954,0.04884879059931272,563,231,31928
44,0.15015768172239585,0.11847221037917036,0.004426420044384548,4641,1450,146725
34,0.1267964687122791,0.046463117344514436,0.01584582448907097,1421,480,52889
67,0.1375297428737988,0.10396242963440128,0.0019199765836461857,10554,3602,154083
34,0.15586404890168695,0.06713361901107835,0.0033298004335290286,4819,1748,184281
32,0.09567900542446753,0.05231272402366152,0.05162618648799553,481,200,25876
55,0.11259366788360645,0.042674376578400494,0.008945415355234992,2850,1000,66120
61,0.07171936556783895,0.038271362034412705,0.04072948352789081,656,349,33775
22,0.17498784758015015,0.09389580068301234,0.008633959190441893,1511,589,42771
87,0.08205325468501527,0.03624839572262692,0.009259800184795353,2743,1388,63058
40,0.11464965122753612,0.0875042064299301,0.029044110982089776,1735,294,107184
34,0.11456507593843185,0.0472709383957585,0.023268087262189447,1577,360,103082
40,0.09910900186998949,0.04822329575575082,0.017806895634164953,1315,560,60170
45,0.14061753245016725,0.07373578530895253,0.0016194491595743416,12217,4074,149808
34,0.14322809199201933,0.0809556052529962,0.019853662910062936,877,339,36089
43,0.09961441689036481,0.040378660969597434,0.02107745163355149,1146,476,38625
46,0.12216179161201436,0.05379413919682806,0.007202426466676904,2381,1096,98078
50,0.1361737501426739,0.059277660591728475,0.0066506398292857,2951,1059,74167
40,0.07948623187367512,0.038564579626682735,0.05112983923884514,692,256,107790
42,0.1271860314099983,0.10238326121377923,0.003997423667226054,6829,1896,164611
25,0.16359755461264633,0.11080622996657612,0.0045976938141410436,2974,1227,81643
34,0.12567429266549665,0.12191245386879948,0.06419144463773424,537,129,25761
62,0.0802422964492208,0.036381435192788754,0.02630311224859357,1159,500,100594
36,0.13361777096457678,0.04280918938623236,0.002937762093062941,5350,2376,101949
37,0.11600584502757084,0.023956191016021616,0.05446604839394213,353,155,36172
40,0.08933449298117134,0.028944455048624827,0.014488273434379851,1816,756,89511
32,0.13177858805427933,0.057415404182594346,0.0030167198411271685,5277,2347,83111
31,0.1480810030768745,0.06772728576438879,0.007827938731194944,2826,805,84796
27,0.12505703303516852,0.04257507488674862,0.014481871195009663,1058,516,45569
52,0.08407521281000986,0.05965637314821522,0.055048757918713075,455,225,21605
43,0.09850900121233765,0.04342658522977156,0.015512837132626505,1536,654,113017
37,0.09151850969116507,0.02869746389921359,0.012384016274048334,2023,849,90843
54,0.10237978150905465,0.04383999745153003,0.004145259161859696,4909,2332,66263
80,0.1009354520479066,0.0517566524702282,0.004580890517959784,4874,2150,95642
28,0.1625479652385115,0.057142210525349506,0.0010942439243976823,12710,4960,174806
24,0.16595019209281245,0.06862150166192307,0.0015678776734700936,8575,3387,132439
24,0.1350482276956302,0.0603394785331657,0.010645539680403058,1505,646,68640
31,0.1293824851096678,0.035087272669736144,0.019326964782337357,833,379,57836
46,0.08743787472316109,0.0176241779760159,0.0066577237159249686,3064,1677,93411
24,0.161585466535643,0.06017189451979701,0.003372689031604246,3550,1644,65563
28,0.16038627646922654,0.046993473222888896,0.0022449976387934017,5766,2469,140361
34,0.10726486148145631,0.03305893277364947,0.0423238129120482,483,222,24971
37,0.12393449894003584,0.04349118847200672,0.0026763407356474997,7653,2798,134050
40,0.11872417299798094,0.04391326211004215,0.008972919963282968,1865,902,72935
48,0.10286400828616182,0.09416690138041035,0.02601766117369793,991,379,44225
23,0.14584412118879564,0.0814967573964286,0.017601422591508514,1063,357,66298
19,0.23343814836383303,0.15638978972695888,0.034433787415438795,525,110,42458
45,0.10313314009767677,0.037365008275702466,0.008080953789647263,2516,1160,77687
51,0.11333409670188957,0.04536661041491203,0.005766689673405189,3980,1478,139271
33,0.12308308751471447,0.02675563310874318,0.003183231839895617,5168,2379,113530
41,0.0953871170376228,0.034013248388188186,0.010146961553221815,2468,1003,113646
57,0.09382351976520333,0.03386092092778967,0.024906704059848392,1207,437,80976
34,0.12263824537786848,0.029648701501461414,0.007740553298355776,1999,992,56555
59,0.10717177933772871,0.042614295324503074,0.010689549593327173,2022,858,102447
35,0.13485076211851005,0.04226506911791448,0.0015352681275612814,9953,4431,122245
56,0.12642344007688622,0.05555510957371116,0.005109137632786978,3091,1585,45974
27,0.14497737381683495,0.04543736470683038,0.016216366517854068,1261,399,90882
29,0.18492926567618675,0.12226057612977564,0.0015387809256548154,10373,3072,107033
51,0.12280795425035128,0.06986444132632509,0.013785712007638787,2055,603,64798
32,0.16682781188538073,0.08964618892644985,0.0009796856418168652,13181,5468,68584
27,0.15911610656287664,0.10863429656912602,0.0035092985132582732,4595,1615,108889
51,0.07292630825677458,0.030140643295698023,0.029665442072970078,913,463,142612
33,0.13092032570864176,0.04194875420765837,0.0021985881638436696,7645,3233,120995
35,0.13377701599633002,0.04351728387867019,0.00408404716765175,4028,1715,99715
31,0.12887259618117627,0.03459099808892933,0.009959928539749764,2490,732,90396
50,0.15225103580305077,0.07754150240089885,0.0013242376707678564,14793,4524,153719
58,0.10069119300257821,0.058281186112015874,0.011299966501693268,2119,893,93598
37,0.10258957597773162,0.035330190688595976,0.01429548011234713,1586,668,102243
50,0.10819998421377834,0.04919519755169193,0.013370303484589634,1674,723,86404
37,0.0946436874617559,0.038281604007726504,0.020127974304998648,1105,509,92092
37,0.14389528576437088,0.10867254938270574,0.00380502834003236,4242,1715,48197
31,0.13218026349333004,0.05900034398137711,0.015536081933537147,1089,472,72445
26,0.15835004351254744,0.11251245735575302,0.01675276928624982,896,345,45725
53,0.062269236773704405,0.03311005139375302,0.06807994124572773,624,242,28675
54,0.08413494550044179,0.02367571647142408,0.032371389205259435,834,371,37409
42,0.0945829661583636,0.05643425192870603,0.035161390682118696,673,301,101849
52,0.1318893146817772,0.06105989909597463,0.0012136563226674995,12815,5949,94856
45,0.11572189281362386,0.03387886307433099,0.008942673063961298,2243,929,108799
27,0.15513874301588523,0.0768898092561077,0.004217941883394192,3793,1391,88236
31,0.1485430392312063,0.07600033843550172,0.003234441432775551,4505,1915,66137
30,0.16782733279214967,0.0952005916305347,0.002615755540628126,5421,2066,119805
29,0.14514699698411548,0.06604807377961062,0.012891714279038543,1373,513,63278
35,0.18718620199030367,0.15514499341331736,0.00156790285056011,7858,3023,109128
29,0.14122778803558556,0.038348557456648655,0.0029657121585136377,4885,2163,101229
31,0.1265424124664163,0.043957176867021164,0.02164698977580094,981,354,87424
34,0.11812835627776273,0.08163171191030029,0.018462804406241047,1201,434,55987
58,0.07859334656160322,0.034338122457719826,0.030410888835861002,1200,450,97351
51,0.10049090288808317,0.045295844116985305,0.012467451922431585,1720,812,37264
40,0.14184292251520067,0.051067988660870554,0.002824209089296641,5022,2306,97238
40,0.13835810633356221,0.05142595777201562,0.002284893165921897,6715,2958,117565
27,0.1513329324643834,0.06251053819122038,0.013083653565661612,1317,472,64297
25,0.19610822407299625,0.13428802540661136,0.0030439055178215894,4133,1476,78984
32,0.11278936409755506,0.05334552311650971,0.01877064737251309,1615,457,85226
37,0.13525190612399304,0.06160423350922134,0.0023973013964671257,7219,2881,125247
37,0.09362624136595317,0.035799693348541106,0.01207993191708707,1986,860,57992
31,0.136864226966361,0.08897209852953522,0.008848260286026246,2265,771,82441
35,0.13628412022962802,0.050150985540424894,0.003198363642241757,4749,2144,132961
56,0.08711679864360332,0.044703297374309406,0.004092234203942402,6017,2854,36586
40,0.1880777904148843,0.15473732594572617,0.001744947153855956,8326,2728,169416
31,0.13837173986374504,0.0698647627885203,0.0029650308901131963,6353,2207,133724
51,0.14701977412045986,0.07382191229626922,0.005417169659561413,3480,1200,99511
39,0.12526550781910337,0.04915015184161036,0.003000333993964584,6091,2468,156684
19,0.25618560758377434,0.20711328678989183,0.007670598135613535,1764,426,127899
35,0.14181051721306373,0.06066473690371002,0.0022707353321603924,6575,2868,75208
42,0.10271073993249041,0.044160550570940434,0.016204540872267158,1821,584,88850
30,0.1356338365674834,0.08916665281342229,0.007024372161986842,3393,981,96443
14,0.2353448678477418,0.11600191709719594,0.024599102876989375,975,148,87319
33,0.13723260267274473,0.04992335431549865,0.0028486816165617197,5768,2376,127267
47,0.15169006762806425,0.07657518356730007,0.007345141600427217,2272,864,79803
29,0.15036512006783476,0.05773310047650663,0.003234427671133278,4200,1887,72607
31,0.11188144871395315,0.052434278397438104,0.050120637451711796,456,175,33670
47,0.10034247098630293,0.05333592044799559,0.02716465852495583,762,374,55364
29,0.13214073414521527,0.04641708712106991,0.033446432740064556,1164,216,66506
32,0.1635460610974738,0.08425956021785713,0.0009470145852293509,13738,5795,178242
31,0.1394601612893397,0.04744340965580292,0.003895243855206425,3589,1697,68815
37,0.14196373271919766,0.04244164904410183,0.002486831797352411,5645,2587,122346
34,0.14075040923244317,0.047950730502495056,0.0013986226770799353,11049,4690,118019
41,0.11972295239607454,0.05965423030902446,0.006386821301292778,4081,1261,98276
24,0.15261302471819907,0.1009400162942875,0.06215589205979422,492,102,39751
39,0.14243364874253384,0.053954232174268174,0.0011439236209166382,13395,5715,199206
64,0.08112510095152112,0.020629576983997734,0.0077277688837899886,3211,1605,93180
30,0.1501516766259065,0.06607523592931125,0.0009545178477048287,19493,6280,225667
29,0.16451285375095637,0.06616250286885635,0.0009492284754430563,17884,5647,239313
33,0.13949072035979307,0.05957027871499458,0.009057806168245431,2028,755,90657
28,0.13027446420239114,0.050253984161503715,0.015234173812560967,1248,483,59588
22,0.20718281805708094,0.1694412916853862,0.035516060492438446,615,127,42107
43,0.11095212494797946,0.026369718448368596,0.0026625282911720443,6968,3194,172041
36,0.0974881060252588,0.06323424636234827,0.05078254936684139,597,199,67195
31,0.16046574693162674,0.0765891616434132,0.00196567844805446,6526,2876,149951
38,0.14190647713694762,0.04632015395616944,0.002498930325453868,6318,2631,103906
33,0.12179167516410919,0.04737224783316026,0.006875196894909635,2449,1143,92821
31,0.13480690616070334,0.03947043023694728,0.0018056814389739752,9016,3753,102117
42,0.13040635635297534,0.0501573351605232,0.0034517887918552146,5199,2094,81278
43,0.07779800872442912,0.03998072017309143,0.0330135743679544,779,387,41869
32,0.12275691931018572,0.03857894840019849,0.014543373923339495,1044,544,18650
35,0.11162212836437692,0.05013266647882032,0.05676635192764225,853,156,67585
45,0.17510007844289704,0.10665303476824173,0.001142530226333434,12852,4518,188666
35,0.1309991375573453,0.04440795605292266,0.0022050650552132563,7759,3216,95402
28,0.09870494596112239,0.03782620006705746,0.03323370835660902,734,289,62870
30,0.14984677989112366,0.03095157482286617,0.0024544296295610692,5318,2445,62453
46,0.1073442792522736,0.057329475871604835,0.008673264786565068,2161,1074,107550
25,0.16172880681544924,0.08658479626787507,0.012872538292706352,1323,442,38547
45,0.14777383651387557,0.09020241098427519,0.004166551127885664,3773,1530,73237
41,0.13397764700921305,0.05976915182836624,0.004144777465323075,4317,1702,67800
28,0.16678254300286152,0.07193486751442628,0.002046149061804659,7429,2632,145436
28,0.16723516010113224,0.11406482783155804,0.0015759250102608076,19399,3417,201637
60,0.08914021264227687,0.028091296084944165,0.010694608706393301,2589,1046,79561
22,0.1989888372257508,0.10756169946056217,0.003153653476541116,4091,1395,96154
29,0.12719523285203005,0.06657676936337593,0.003998392200075205,5206,1820,171721
59,0.12618233343098187,0.06545714811650727,0.00893211758172266,2318,899,74317
28,0.1459643264383085,0.0395801168677192,0.005062373466435519,2800,1229,72383
57,0.10056969634511412,0.027177275780393986,0.01280284939960023,1673,780,63410
26,0.2051571965520024,0.1746296605193053,0.020003008193629043,1722,231,102874
44,0.13252673222626302,0.12451893105899876,0.011683014426685503,1737,640,101078
19,0.18963275917462633,0.0816815974246713,0.001084542453759118,14903,4119,241391
43,0.1386742116238022,0.08193861584337585,0.0024021841896002434,7065,2839,184986
34,0.14611321183928383,0.03884418270073394,0.002085516327587037,7176,2961,151725
46,0.13388137050930451,0.06329788221562543,0.005481701152296693,3053,1321,91784
36,0.11309627941877236,0.0267761571432535,0.0334602865595536,597,259,41095
42,0.10338910204513384,0.03148494538517612,0.004854251198211047,4030,1897,85473
27,0.1514020319477966,0.0643702294725007,0.003346669639238831,4899,1771,179015
58,0.1617030272313645,0.10797904987675457,0.001555289892148412,8686,3619,97840
38,0.15534787217595852,0.07707208006253825,0.004170022745805848,3333,1433,87162
31,0.13607731721497687,0.05806587517230194,0.007297402452371922,3139,954,165588
73,0.05956530862357186,0.023245198063047347,0.04344057447505723,858,407,23637
48,0.11319632679159679,0.05581055644453174,0.009944938438886095,1727,866,55342
46,0.09426867162454866,0.045901907001044934,0.06372331691297209,368,176,34507
30,0.1506713739188249,0.06850824904772246,0.0018905876174890245,8147,3201,169752
59,0.11827997705740094,0.040852242781308716,0.0037047108565205094,4821,2209,86310
36,0.11235679232374762,0.03914667860773678,0.01081306943109194,1974,804,76775
41,0.13390529343137497,0.03694321663003399,0.002168850550760264,7418,3199,132559
21,0.16913019844551425,0.12292178377300934,0.006340560842875928,2701,831,182136
25,0.12414775894141725,0.03835300517434267,0.019731499965424556,841,388,66736
51,0.15610688408253903,0.11572733649620007,0.005948295323901372,2529,1060,74060
64,0.08757244641899037,0.04060008938089956,0.011359202242649337,2063,1055,54445
42,0.10088271055944674,0.035125240699985835,0.006891124001308343,3062,1393,64082
54,0.1280751672971263,0.04711030457875968,0.005116940262425572,3410,1485,94479
17,0.1949421625046105,0.13098733832789092,0.016404828354699544,1017,274,72801
43,0.12999314013420787,0.039919003428902367,0.003594598138313108,4700,2014,170166
31,0.12568728609621382,0.035313502150329815,0.01650853694202057,1044,451,34614
39,0.14343404709328852,0.06174569450524627,0.004487668541430773,3627,1451,143082
42,0.1186921287233669,0.03342834239771503,0.0034119243557942,4419,2314,112303
27,0.15340725338472244,0.06924011650381284,0.01228742136000201,1004,496,52903
34,0.15088056404624786,0.0756148204099716,0.0035255549881202156,4428,1717,178195
24,0.16808334221881474,0.12723911498867285,0.014020378678771254,1930,387,55215
47,0.09876043556539693,0.032344641800374614,0.019789759159036635,937,501,67427
28,0.13827196517219503,0.0445936628759015,0.010416039072845648,1501,654,65409
29,0.14305180461931566,0.08235925807977748,0.005634272182248484,2680,1147,83169
48,0.10149185604075793,0.05188579743447096,0.009479894753387947,2485,1039,76680
